year,leFMDS_Wm2,leFMDS_qc,hFMDS_Wm2,hFMDS_qc
1996,21240.8233025563,0.371755464480874,14137.1336521042,0.410974499089253
1997,18858.7337645006,0.884931506849315,6632.6288589375,0.998972602739726
1998,15085.333429198,0.953824200913242,5139.37592060063,0.951541095890411
1999,21259.1639738542,0.433618721461187,4770.40940180833,0.433618721461187
2000,19972.7389973114,0.668602003642987,8219.95181251083,0.676514116575592
2001,16480.6794100133,0.986472602739726,5749.83546691667,0.998059360730594
2002,11475.6937762765,0.964383561643836,7528.14183280833,0.999828767123288
2003,17708.8117634027,0.903995433789954,10980.0613355841,0.909760273972603
2004,17252.0731539696,0.969489981785064,10427.5752156229,0.972279143897996
2005,12319.3737641521,0.989155251141553,13685.5183798486,0.994577625570776
2006,15335.1304653417,0.999657534246575,12052.5106669813,0.999714611872146
2007,17983.5480126604,0.999143835616438,7642.11581922917,0.999315068493151
2008,16980.036967144,0.973759107468124,8280.77322615896,0.892702641165756
